id;start_date;end_date;language
1;2020-03-23T16:05:00;2020-03-23T13:55:15;SPANISH
2;2020-03-22T20:55:11;2020-03-23T15:59:36;SPANISH
3;2020-03-23T11:50:30;2020-03-22T22:24:39;FRENCH
4;2020-03-23T03:08:01;2020-03-23T14:39:27;FRENCH
5;2020-03-23T12:38:19;2020-03-23T17:25:18;FRENCH
6;2020-03-23T06:30:40;2020-03-23T18:38:54;FRENCH
7;2020-03-23T08:16:00;2020-03-23T02:06:51;FRENCH
8;2020-03-23T07:12:13;2020-03-23T17:28:21;SPANISH
9;2020-03-23T05:53:22;2020-03-23T02:34:45;SPANISH
10;2020-03-23T14:05:26;2020-03-23T00:39:56;SPANISH
